,Event ID,Event Date,Market Name,Outcome Name,Price,Handicap,Odds Type,Bookmaker,eventId,participant1,participant2
0,id100013150869217,2024-10-27,Full Time Result,1,2.5,0,3Way,bet365,id100013150869217,MVV Maastricht,Helmond Sport
1,id100013150869217,2024-10-27,Full Time Result,X,4.0,0,3Way,bet365,id100013150869217,MVV Maastricht,Helmond Sport
2,id100013150869217,2024-10-27,Full Time Result,2,2.4,0,3Way,bet365,id100013150869217,MVV Maastricht,Helmond Sport
3,id100013150869217,2024-10-27,Both Teams To Score,Yes,1.571,0,Totals,bet365,id100013150869217,MVV Maastricht,Helmond Sport
4,id100013150869217,2024-10-27,Both Teams To Score,No,2.25,0,Totals,bet365,id100013150869217,MVV Maastricht,Helmond Sport
5,id100013150869217,2024-10-27,Over Under Full Time,Over,1.025,0.5,Over/Under,bet365,id100013150869217,MVV Maastricht,Helmond Sport
6,id100013150869217,2024-10-27,Over Under Full Time,Under,17.0,0.5,Over/Under,bet365,id100013150869217,MVV Maastricht,Helmond Sport
7,id100013150869217,2024-10-27,Over Under Full Time,Over,1.181,1.5,Over/Under,bet365,id100013150869217,MVV Maastricht,Helmond Sport
8,id100013150869217,2024-10-27,Over Under Full Time,Under,4.5,1.5,Over/Under,bet365,id100013150869217,MVV Maastricht,Helmond Sport
9,id100013150869217,2024-10-27,Over Under Full Time,Over,2.5,3.5,Over/Under,bet365,id100013150869217,MVV Maastricht,Helmond Sport
10,id100013150869217,2024-10-27,Over Under Full Time,Under,1.5,3.5,Over/Under,bet365,id100013150869217,MVV Maastricht,Helmond Sport
11,id100013150869217,2024-10-27,Over Under Full Time,Over,4.5,4.5,Over/Under,bet365,id100013150869217,MVV Maastricht,Helmond Sport
12,id100013150869217,2024-10-27,Over Under Full Time,Under,1.181,4.5,Over/Under,bet365,id100013150869217,MVV Maastricht,Helmond Sport
13,id100013150869217,2024-10-27,Over Under Full Time,Over,10.0,5.5,Over/Under,bet365,id100013150869217,MVV Maastricht,Helmond Sport
14,id100013150869217,2024-10-27,Over Under Full Time,Under,1.062,5.5,Over/Under,bet365,id100013150869217,MVV Maastricht,Helmond Sport
15,id100013150869217,2024-10-27,Over Under Full Time,Over,19.0,6.5,Over/Under,bet365,id100013150869217,MVV Maastricht,Helmond Sport
16,id100013150869217,2024-10-27,Over Under Full Time,Under,1.02,6.5,Over/Under,bet365,id100013150869217,MVV Maastricht,Helmond Sport
