categoryName,tournamentName,eventId,participant1,participant2,date,time,eventStatus
Algeria,Ligue 2,id101432154457981,Skaf Khemis Miliana,NA Hussein Dey,2024-10-27,14:00:00,pre-game
Algeria,Ligue 2,id101432154457979,MC Saida,Js El Biar,2024-10-27,14:00:00,pre-game
Argentina,Liga Profesional,id100015546657085,Platense,Argentinos Juniors,2024-10-27,18:00:00,pre-game
Argentina,Liga Profesional,id100015546657091,Banfield,Racing Club Avellaneda,2024-10-27,19:15:00,pre-game
Argentina,Liga Profesional,id100015546657093,Instituto AC Cordoba,Rosario Central,2024-10-27,21:00:00,pre-game
Argentina,Liga Profesional,id100015546657087,Velez Sarsfield,	Belgrano,2024-10-27,21:00:00,pre-game
Argentina,Liga Profesional,id100015546657071,Huracan,Central Cordoba,2024-10-27,21:00:00,pre-game
Argentina,Liga Profesional,id100015546657073,Gimnasia,Union de Santa Fe,2024-10-27,21:00:00,pre-game
Argentina,Liga Profesional,id100015546657079,Atletico Tucuman,Lanus,2024-10-27,21:00:00,pre-game
Argentina,Liga Profesional,id100015546657077,Independiente,Godoy Cruz,2024-10-27,21:00:00,pre-game
Argentina,Liga Profesional,id100015546657081,Boca Juniors,Riestra,2024-10-27,22:00:00,pre-game
Argentina,Liga Profesional,id100015546657083,Talleres,Tigre,2024-10-28,00:15:00,pre-game
Argentina,Primera B,id100134750836225,Villa San Carlos,Flandria,2024-10-27,18:00:00,pre-game
Argentina,Primera B,id100134750836223,Sportivo Italiano,CS Dock Sud,2024-10-27,18:00:00,pre-game
Argentina,Primera B,id100134750836219,CSYD Liniers,UAI Urquiza,2024-10-27,18:00:00,pre-game
Argentina,Primera B,id100134750836089,CA Ferrocarril Midland,Deportivo Merlo,2024-10-27,18:00:00,pre-game
Argentina,Primera B,id100134750836051,Villa Dalmine,Canuelas FC,2024-10-27,18:00:00,pre-game
Argentina,Primera C,id102617446931817,Berazategui,Deportivo Espanol,2024-10-27,16:05:00,pre-game
Argentina,Primera C,id102617446931833,CA Central Cordoba Rosario,CA Puerto Nuevo,2024-10-27,18:00:00,pre-game
Argentina,Primera Nacional,id100070346929801,CA Agropecuario,Tristan Suarez,2024-10-27,18:05:00,pre-game
Argentina,Primera Nacional,id100070346929807,Arsenal de Sarandi,CA Alvarado del Plata,2024-10-27,18:05:00,pre-game
Argentina,Primera Nacional,id100070346929817,Quilmes AC,San Miguel,2024-10-27,18:05:00,pre-game
Argentina,Primera Nacional,id100070346929811,Club Atletico Chacarita Juniors,Gimnasia Jujuy,2024-10-27,18:05:00,pre-game
Argentina,Primera Nacional,id100070346929805,San Martin de San Juan,Racing de Cordoba,2024-10-27,18:05:00,pre-game
Argentina,Primera Nacional,id100070346929813,CA Estudiantes Caseros,Deportivo Maipu,2024-10-27,18:05:00,pre-game
Argentina,Primera Nacional,id100070346929815,Talleres Remedios,Ferro Carril Oeste,2024-10-27,18:05:00,pre-game
Argentina,Primera Nacional,id100070346929803,Guillermo Brown,CA Patronato Parana,2024-10-27,18:05:00,pre-game
Argentina,Primera Nacional,id100070346929837,Club Atletico Atlanta,CA All Boys,2024-10-27,18:05:00,pre-game
Argentina,Torneo Federal A,id103010654754699,Germinal,Ciudad de Bolivar,2024-10-27,18:00:00,pre-game
Argentina,Torneo Federal A,id103010654754703,Sol de America,Santamarina Tandil,2024-10-27,19:30:00,pre-game
Argentina,Torneo Federal A,id103010654754753,CD Argentino Monte Maiz,Villa Mitre,2024-10-27,19:35:00,pre-game
Austria,Bundesliga,id100004551143475,Wolfsberger AC,FC Red Bull Salzburg,2024-10-27,13:30:00,pre-game
Austria,Bundesliga,id100004551143481,Grazer AK,Rapid Vienna,2024-10-27,13:30:00,pre-game
Austria,Bundesliga,id100004551143473,Linzer ASK,SK Sturm Graz,2024-10-27,16:00:00,pre-game
Azerbaijan,Premier League,id100070951803535,Sabah Masazir,Neftchi Baku PFC,2024-10-27,13:00:00,pre-game
Azerbaijan,Premier League,id100070951803531,Qarabag FK,Shamakhi FK,2024-10-27,15:00:00,pre-game
Bahrain,Premier League,id100084653298815,Al-Khaldiya SC,East Riffa,2024-10-27,16:00:00,pre-game
Belarus,Vysshaya Liga,id100016948172057,FC Vitebsk,FC Gomel,2024-10-27,13:00:00,pre-game
Belarus,Vysshaya Liga,id100016948172053,FC Shakhter Soligorsk,FC Minsk,2024-10-27,15:00:00,pre-game
Belgium,Challenger Pro League,id100000954760029,KAS Eupen,KSC Lokeren Temse,2024-10-27,18:15:00,pre-game
Belgium,Nationale 1 ACFF,id104337351572099,Ur Namur,Union Saint Gilloise B,2024-10-27,14:00:00,pre-game
Belgium,Nationale 1 VV,id104337151570151,KVK Tienen,KSK Heist,2024-10-27,14:00:00,pre-game
Belgium,Nationale 1 VV,id104337151570149,Cercle Brugge,Oud-Heverlee Leuven,2024-10-27,14:00:00,pre-game
Belgium,Nationale 1 VV,id104337151570147,Royal Cappellen FC,Kvk Ninove,2024-10-27,14:00:00,pre-game
Belgium,Pro League,id100003850714997,Club Brugge KV,RSC Anderlecht,2024-10-27,12:30:00,pre-game
Belgium,Pro League,id100003850715003,Royal Antwerp FC,Standard Liège,2024-10-27,15:00:00,pre-game
Belgium,Pro League,id100003850715001,KAA Gent,KRC Genk,2024-10-27,17:30:00,pre-game
Belgium,Pro League,id100003850714999,Union Saint-Gilloise,Cercle Brugge KSV,2024-10-27,18:15:00,pre-game
Bolivia,Division Profesional,id103398053070737,CD Real Tomayapo,Always Ready,2024-10-27,19:00:00,pre-game
Bolivia,Division Profesional,id103398053070739,Guabira Montero,Independiente Petrolero,2024-10-27,21:30:00,pre-game
Bolivia,Division Profesional,id103398053070741,Jorge Wilstermann,CA Nacional Potosi,2024-10-27,23:00:00,pre-game
