categoryName,tournamentName,eventId,participant1,participant2,date,time,eventStatus
Algeria,Ligue 2,id101432154878287,Ben Aknoun,GC Mascara,2024-11-06,14:00:00,pre-game
Argentina,Liga Profesional,id100015546657149,Barracas Central,Racing Club,2024-11-06,18:00:00,pre-game
Argentina,Liga Profesional,id100015546657147,Instituto AC Cordoba,River Plate,2024-11-06,20:00:00,pre-game
Argentina,Liga Profesional,id100015546657145,CA Banfield,CA Belgrano,2024-11-06,20:00:00,pre-game
Argentina,Liga Profesional,id100015546657135,Boca Juniors,Godoy Cruz,2024-11-06,22:30:00,pre-game
Armenia,Premier League,id100067154710265,Urartu,BKMA Yerevan,2024-11-06,15:00:00,pre-game
Azerbaijan,Premier League,id100070953509233,Zira FK,Araz Nakhchivan PFK,2024-11-06,15:00:00,pre-game
Bosnia & Herzegovina,Premijer Liga,id100022255207247,Zrinjski Mostar,FK Sarajevo,2024-11-06,17:00:00,pre-game
Brazil,Brasileiro Serie A,id100032548215087,Atletico GO,Clube Atletico MG,2024-11-07,00:00:00,pre-game
Brazil,Brasileiro Serie A,id100032548215073,Cruzeiro MG,Flamengo RJ,2024-11-07,00:00:00,pre-game
Brazil,"Carioca, Serie B1",id104067752325605,Friburguense AC RJ,Sao Goncalo EC RJ,2024-11-06,18:00:00,pre-game
Brazil,"Carioca, Serie B1",id104067752325609,Serrano FC RJ,Perolas Negras RJ,2024-11-06,18:00:00,pre-game
Brazil,"Carioca, Serie B1",id104067752325607,Sao Cristovao FR RJ,EC Nova Cidade RJ,2024-11-06,18:00:00,pre-game
Brazil,"Carioca, Serie B1",id104067752325603,Artsul FC RJ,SE Belford Roxo RJ,2024-11-06,18:00:00,pre-game
Brazil,Copa Rio,id104006154965947,Marica FC RJ,Olaria RJ,2024-11-06,17:45:00,pre-game
Brazil,U20 Copa do Brasil,id101441354938535,EC Bahia BA,Goias EC GO,2024-11-06,19:00:00,pre-game
