event_id,match_name,start_time,home_team,away_team,competition,country,sport,home_odds,away_odds
5881332,Barcelona vs Valencia,2025-01-26T20:00:00Z,Barcelona,Valencia,Spanje LaLiga,Spanje,Voetbal,1.23,12.0
6579404,Fulham vs Manchester United,2025-01-26T19:00:00Z,Fulham,Manchester United,Engeland Premier League,Engeland,Voetbal,2.33,3.2
6579403,Aston Villa FC vs West Ham United,2025-01-26T16:30:00Z,Aston Villa FC,West Ham United,Engeland Premier League,Engeland,Voetbal,1.51,5.75
6588685,TSG Hoffenheim vs Eintracht Frankfurt,2025-01-26T14:30:00Z,TSG Hoffenheim,Eintracht Frankfurt,Duitsland Bundesliga,Duitsland,Voetbal,3.25,2.09
5881328,Athletic Bilbao vs Leganes,2025-01-26T17:30:00Z,Athletic Bilbao,Leganes,Spanje LaLiga,Spanje,Voetbal,1.37,9.25
5881322,Real Sociedad vs Getafe CF,2025-01-26T15:15:00Z,Real Sociedad,Getafe CF,Spanje LaLiga,Spanje,Voetbal,1.93,5.0
5881321,Fenerbahçe vs Goztepe SK,2025-01-26T16:00:00Z,Fenerbahçe,Goztepe SK,Turkije Süper Lig,Turkije,Voetbal,1.54,5.25
6425468,FC Porto vs Santa Clara,2025-01-26T18:00:00Z,FC Porto,Santa Clara,Portugal Primeira Liga,Portugal,Voetbal,1.59,5.75
6425467,SC Braga vs Boavista,2025-01-26T20:30:00Z,SC Braga,Boavista,Portugal Primeira Liga,Portugal,Voetbal,1.25,10.0
6293989,FC St. Pauli vs Union Berlin,2025-01-26T16:30:00Z,FC St. Pauli,Union Berlin,Duitsland Bundesliga,Duitsland,Voetbal,2.39,3.25
6551418,PAOK Thessaloniki vs APO Levadeiakos FC,2025-01-26T17:30:00Z,PAOK Thessaloniki,APO Levadeiakos FC,Griekenland Super League,Griekenland,Voetbal,1.31,8.5
6427983,Hajduk Split vs Slaven Belupo,2025-01-26T16:30:00Z,Hajduk Split,Slaven Belupo,Kroatië 1. HNL,Kroatië,Voetbal,1.38,6.75
6622938,Albacete vs Almeria,2025-01-26T15:15:00Z,Albacete,Almeria,Spanje Segunda Division,Spanje,Voetbal,3.15,2.2
6425469,Estoril Praia vs Vitória Guimarães,2025-01-26T15:30:00Z,Estoril Praia,Vitória Guimarães,Portugal Primeira Liga,Portugal,Voetbal,4.5,1.78
5861855,FC Ingolstadt 04 vs SpVgg Unterhaching,2025-01-26T15:30:00Z,FC Ingolstadt 04,SpVgg Unterhaching,Duitsland 3.Liga,Duitsland,Voetbal,1.53,5.25
6285735,FC Uta Arad vs FCSB,2025-01-26T18:00:00Z,FC Uta Arad,FCSB,Roemenië Liga 1,Roemenië,Voetbal,3.4,1.98
6624470,Real Oviedo vs CD Castellon,2025-01-26T15:15:00Z,Real Oviedo,CD Castellon,Spanje Segunda Division,Spanje,Voetbal,1.78,4.5
6551419,Olympiacos Piraeus vs Panathinaikos,2025-01-26T18:30:00Z,Olympiacos Piraeus,Panathinaikos,Griekenland Super League,Griekenland,Voetbal,2.05,3.85
5881136,Kocaelispor vs Pendikspor,2025-01-26T16:00:00Z,Kocaelispor,Pendikspor,Turkije 1. Lig,Turkije,Voetbal,1.87,3.65
6551463,Lamia 1964 vs Aris Thessaloniki,2025-01-26T15:00:00Z,Lamia 1964,Aris Thessaloniki,Griekenland Super League,Griekenland,Voetbal,3.75,2.2
5881326,Deportivo Alaves vs Celta De Vigo,2025-01-27T20:00:00Z,Deportivo Alaves,Celta De Vigo,Spanje LaLiga,Spanje,Voetbal,2.65,2.9
6434597,Avs Futebol Sad vs Gil Vicente,2025-01-27T20:15:00Z,Avs Futebol Sad,Gil Vicente,Portugal Primeira Liga,Portugal,Voetbal,2.8,2.5
5881334,Kasimpasa vs Hatayspor,2025-01-27T17:00:00Z,Kasimpasa,Hatayspor,Turkije Süper Lig,Turkije,Voetbal,1.69,4.5
6679628,Numidia VC Limax vs Sss Barneveld,2025-01-26T15:30:00Z,Numidia VC Limax,Sss Barneveld,Eredivisie Heren,Nederland,Volleybal,1.47,2.6
6649730,Barkom-Kazhany LVIV vs Exact Systems Norwid Czestochowa,2025-01-27T16:30:00Z,Barkom-Kazhany LVIV,Exact Systems Norwid Czestochowa,Polen PlusLiga,Polen,Volleybal,3.4,1.29
6679562,Azzurra Volley San Casciano vs Cuneo Granda Volley,2025-01-26T16:00:00Z,Azzurra Volley San Casciano,Cuneo Granda Volley,"Italië Serie A1, Vrouwen",Italië,Volleybal,1.43,2.75
6476115,Busto Arsizio Volley vs Saugella Team Monza,2025-01-26T16:00:00Z,Busto Arsizio Volley,Saugella Team Monza,"Italië Serie A1, Vrouwen",Italië,Volleybal,4.25,1.21
6521890,Imoco Volley Conegliano vs Fenera Chieri,2025-01-26T17:00:00Z,Imoco Volley Conegliano,Fenera Chieri,"Italië Serie A1, Vrouwen",Italië,Volleybal,1.08,7.75
