,sports,competitions
200-400,[],[]
400-600,"['Voetbal', 'Rugby Union', 'Darten', 'Volleybal', 'Snooker']","['Israel Liga Leumit', 'Servië Wiener Städtische Liga', 'Roemenië Liga 1', 'Portugal Segunda Liga', 'Oostenrijk Volley League', 'Portugal Divisao Mannen', 'United Rugby Championship', 'Frankrijk Pro D2', 'Zweden Elitserien Mannen', 'Superliga Femenina', 'Modus Darts Online Live League', 'Zweden Eliteserien Vrouwen', 'Griekenland Super League', 'Duitsland Bundesliga', 'Spanje LaLiga', 'Portugal Primeira Liga', 'Griekenland Volleyleague', 'Engeland League 1', 'Polen PlusLiga', 'Engeland Premier League', 'Italy Serie A2', 'Duitsland DVL 1. Bundesliga', 'Polen 1. Liga', 'Engeland Premiership', 'Frankrijk Top 14\n', 'Israel Premier League', 'Italië Serie A1, Vrouwen', 'Brazilian Superliga B', 'Duitsland 3.Liga', 'Turkije 1. Lig', 'Bulgarije Liga Mannen', 'Italië Serie A2 Vrouwen', 'Griekenland A1 League Vrouwen', 'Costa Rica Primera Division', 'Argentinië Serie A1 Vrouwen', 'Finland Mestarluusliiga', 'Oostenrijk Volley League Vrouwen', 'Polen Liga Siatkowki, Vrouwen', 'German Masters', 'Costa Rica Ascenso League', 'Turkije Süper Lig', ""Men's Superliga de Voleibol Masculina"", 'Finland Mestaruusliiga Vrouwen', 'Eredivisie Heren', 'Kroatië 1. HNL', 'België Liga A Vrouwen', 'Portugal Campeonato Nacional, Vrouwen', 'Zwitserland NLA Vrouwen', 'Brazilië Superliga Vrouwen', 'Spanje Segunda Division', 'Portugal Liga 3']"
600-800,"['Basketbal', 'Voetbal']","['Costa Rica Ascenso League', 'Duitsland 2. Bundesliga Pro A', 'Israel Liga Leumit', 'Israel Super League', 'Roemenië Liga 1', 'Iran Pro League', 'Spanish Basketball League Vrouwen', 'Spanje ACB', 'Kroatië 1. HNL', 'Italië Serie B', 'Engeland Championship', 'Zwitserland Super League', 'Engeland League 2', 'Duitsland Bundesliga', 'NBA', 'Italië Serie A', 'Azerbeidzjan Premier League']"
800-1000,"['Darten', 'Rugby Union', 'Voetbal']","['Frankrijk Ligue 1', 'Saudi Arabië League Division 1', 'Frankrijk Pro D2', 'United Rugby Championship', 'Schotland League Two', 'Brazil Gaucho A1', ""Scotland Women's Premier League"", 'Brazilië Cearense', 'Egypte Premier League', 'Modus Darts Online Live League', 'Nicaragua Primera Division', 'Australië A-League', 'Saudi Arabië Pro League\n', 'Engeland National League Zuid', 'Brazilië Mineiro Modulo I', 'Engeland Premiership', 'Frankrijk Top 14\n', 'Brazilië Paulista A1\n', 'Egypte Second Division', 'Engeland National League', 'Engeland National League Noord', 'België 1B Pro League', 'Marokko Botola', 'Brazil Campeonato Paranaense', 'Schotland Championship', 'Mexico Liga MX', 'België Jupiler Pro League', 'Qatar Stars League', 'Mexico League MX Vrouwen', 'Paraguay Primera Division', 'Frankrijk Ligue 2']"
1000-1200,"['Voetbal', 'Basketbal', 'Tennis', 'Handbal', 'IJshockey']","['Nederland Eredivisie', 'ATP Challenger Koblenz, Enkelspel', 'Nederland Eerste Divisie', 'EHF Champions League Vrouwen', 'ATP Challenger Brisbane 1, Dubbelspel', 'Italie Serie A2', 'Italië Lega A Vrouwen', 'EHF European League Women', 'Noorwegen Eliteserien Vrouwen', 'ATP Montpellier, Dubbelspel', 'Alps Hockey League', 'Polen Superliga Vrouwen', 'Cyprus First Division', 'ATP Challenger Punta, Enkelspel', 'Polish Ekstraliga', 'Zweden Allsvenskan', 'Italië Serie A', 'Polish I Liga Mannen', 'Cyprus Beker', 'Italië Serie B', 'ATP Montpellier, Enkelspel', 'Erste Liga', 'Zweden SHL', 'Nederland Eredivisie Vrouwen', 'ATP Challenger Brisbane 1, Enkelspel', 'Tsjechië Extraliga', 'Zweden SDHL Vrouwen', 'Slowakije Extraliga', 'Noorwegen 1. Division Vrouwen', 'Wereld Kampioenschap', 'ATP Challenger Cleveland, Enkelspel', 'ATP Challenger Piracicaba, Enkelspel', 'Denemarken 1. Division', 'Greece A1 League', 'ATP Challenger Koblenz, Dubbelspel', 'ATP Challenger Piracicaba, Dubbelspel', 'ATP Challenger Cleveland, Dubbelspel']"
1200-1400,"['Voetbal', 'Basketbal', 'Handbal', 'IJshockey', 'Volleybal', 'Rugby Union']","['Oostenrijk Bundesliga', 'Tsjechië NBL', 'Portugal Segunda Liga', 'Finland Mestis', 'Frankrijk Pro D2', 'Griekenland A1 Ethniki', 'EHF Champions League Vrouwen', 'Estland-Letland Basketball League', 'Polen Superliga Vrouwen', 'Polen PlusLiga', 'Adriatic League', 'Turkije BSL', 'Litouwen NKL', 'Italy Serie A2', 'Frankrijk Pro A', 'Zweden Allsvenskan', 'Italië Serie A', 'Italië Serie A1, Vrouwen', 'Italië Serie A2 Vrouwen', 'Finland Liiga', 'Polen Liga Siatkowki, Vrouwen', 'Colombia Categoría Primera A', 'Zwitserland National League A', 'Noorwegen 1. Division Vrouwen', 'Finland Naisten Liiga, Vrouwen', 'Polen 1. Liga', 'BNXT League', 'Cyprus Beker']"
1400-1600,"['Cricket', 'Voetbal', 'Basketbal', 'Handbal', 'IJshockey', 'Volleybal', 'Rugby Union']","['Oostenrijk Bundesliga', 'Hongarije NB I Vrouwen', 'Test Series', 'New Zealand Super Smash, Women', 'Schotland League Two', 'Griekenland A1 Ethniki', 'Venezuela Primera Division', 'Bangladesh Premier League', 'UAE President Cup', 'Estland-Letland Basketball League', 'Noorwegen GET-ligaen', 'EHF European League Women', 'Nieuw-Zeeland Super Smash', 'Alps Hockey League', 'Denemarken Basketligaen', 'Oostenrijk Eishockey Liga', 'Duitsland DVL 1. Bundesliga', 'Frankrijk Top 14\n', 'Thailand League 1', 'T20 Series', 'Noorwegen BLNO', 'Polish I Liga Mannen', 'Spain Primera División Vrouwen', 'T20 League', 'Polen Extraliga', 'Schotland Championship', 'Honduras Liga Nacional de Fútbol', 'Guatemala Liga Nacional', 'Engeland FA Super League Vrouwen', 'South Africa SA20 League', 'Eredivisie Heren', 'België Liga A Vrouwen', 'Zuid-Korea KBL Vrouwen', 'Australië Twenty20 Big Bash', ""Australia Women's National Cricket League""]"
1600-1800,"['Voetbal', 'Basketbal', 'Tafeltennis', 'IJshockey', 'Volleybal']","['Duitsland 2. Bundesliga Pro A', 'TT Elite Series', 'Finland Mestis', 'Frankrijk Ligue Magnus', 'Slowakije Extraliga', 'Brazilië Superliga Vrouwen', 'El Salvador Primera Division', 'Czech Liga Pro', 'India Super League', 'Argentinië Superliga', 'Argentinië NBL A', 'Brazilian Superliga B', 'Kroatië A1 League']"
1800-2000,"['IJshockey', 'Cricket', 'Voetbal']","['T20 Series', 'Test Series', 'New Zealand Super Smash, Women', 'Duitsland DEL 2', 'Australië Twenty20 Big Bash', 'India Super League', 'Duitsland DEL', 'Nieuw-Zeeland Super Smash', ""Australia Women's National Cricket League""]"
2000-2200,"['Basketbal', 'Snooker', 'Cricket', 'Voetbal']","['German Masters', 'South Africa SA20 League', 'Spanish Basketball League Vrouwen', 'Italië Serie B', 'Zuid-Afrika FA Cup']"
