,sports,competitions
1400-1600,"['Snooker', 'Basketbal', 'Volleybal', 'Voetbal', 'Cricket', 'IJshockey']","['Estland-Letland Basketball League', 'Bangladesh Premier League', 'The Masters', 'Schotland Championship', 'Frankrijk Coupe de France', 'Schotland League One', 'Thailand League 1', 'Schotland League Two', 'New Zealand Super Smash, Women', 'Litouwen LKL', 'Denemarken Superisligaen', 'Vijay Hazare Trophy', 'Oostenrijk Eishockey Liga', 'South Africa SA20 League', 'ODI Series', 'ODI Series Women', 'België Liga Mannen', 'Noord-Ierland Premiership', 'Spain Primera División Vrouwen', ""PBA Commissioner's Cup"", 'Australië Twenty20 Big Bash', 'Championship League Snooker', 'Noorwegen GET-ligaen', 'Finland Korisliiga']"
1600-1800,"['Tafeltennis', 'Wintersport', 'Basketbal', 'Badminton', 'Volleybal', 'Voetbal', 'Tennis', 'IJshockey']","['CEV Cup Vrouwen', 'Slowakije Extraliga', 'WTT Star Contender Doha, Doubles', 'Czech Liga Pro', 'Brazilië Superliga Mannen', 'Brazilië Superliga Vrouwen', 'Biatlon Vrouwen', 'Frankrijk Division 1 Vrouwen', 'Malaysia Open, Men Singles', 'TT Elite Series', 'ATP Australian Open, Enkelspel', 'Malaysia Open, Mixed Doubles', 'WTT Star Contender Doha, Women, Doubles', 'Malaysia Open, Men Doubles', 'India Super League', 'Finland Mestis', 'Zuid-Korea V-League Vrouwen', 'WTT Star Contender Doha, Mixed Doubles', 'WTT Star Contender Doha, Singles', 'Malaysia Open, Women Doubles', 'Australie NBL', 'Argentinië NBL A', 'Malaysia Open, Women Singles', 'Zuid-Korea V-League', 'India I-League']"
1800-2000,"['Basketbal', 'Voetbal', 'Handbal', 'Cricket', 'Tennis', 'IJshockey']","['ODI Series Women', 'ODI Series', 'India Super League', 'New Zealand Super Smash, Women', 'WTA Australian Open, Enkelspel', 'Australie NBL', 'Portugal League Cup', 'Duitsland DEL', 'Australië Twenty20 Big Bash', 'Duitsland DEL 2', 'Hongarije NB I Vrouwen']"
2000-2200,"['Cricket', 'Volleybal']","['South Africa SA20 League', 'CEV Challenge Cup Vrouwen']"
2200-2400,['Voetbal'],['India I-League']
2400-2600,[],[]
2600-2800,[],[]
2800-3000,"['Waterpolo', 'Voetbal']","['Noord Ierland League Cup', ""FINA Men's Water Polo World Cup""]"
3000-3200,['Handbal'],['Vriendschappelijk']
3200-3400,"['Basketbal', 'Voetbal', 'IJshockey']","['Euroleague Mannen', 'Ethiopië Premier League', 'Duitsland DEL 2']"
3400-3600,"['Basketbal', 'Voetbal', 'TOTO Specials', 'IJshockey']","['Qatar Stars League', 'Argentinië NBL A', 'Boost van de Dag', 'Combi Boost', 'Competitie Specials', 'Goalgetter Boost', 'Indonesië Liga 1', 'Ethiopië Premier League', 'Kazakhstan Pro Hockey League']"
3600-3800,"['Basketbal', 'Voetbal', 'Tennis', 'Futsal', 'IJshockey']","['Portugal 1 Divisao', 'Egypte Second Division', 'WTA Adelaide, Dubbelspel', 'VS AHL', 'Poland Ekstraklasa', 'ATP Adelaide, Enkelspel', 'ATP Adelaide, Dubbelspel', 'Australië W-League', 'Spanje Copa del Rey', 'Australië WNBL', 'WTA Adelaide, Enkelspel', 'Oeganda Premier League']"
3800-4000,"['Volleybal', 'Futsal', 'TOTO Specials', 'Cricket']","['Portugal 1 Divisao', 'Finland Mestarluusliiga', 'Bangladesh Premier League', 'Competitie Specials', 'Finland Mestaruusliiga Vrouwen', 'Spanje Copa del Rey']"
4000-4200,['Voetbal'],['England FA Cup Women']
4200-4400,"['Basketbal', 'Volleybal']","['Tunisia Basketball League', 'Denemarken Volleyligaen']"
4400-4600,"['Waterpolo', 'Tennis', 'Futsal']","['Spanje Copa del Rey', ""FINA Men's Water Polo World Cup"", 'ATP Challenger Nottingham, Enkelspel']"
4600-4800,['Tennis'],"['ATP Challenger Nottingham, Dubbelspel']"
4800-5000,[],[]
5000-5200,[],[]
5200-5400,[],[]
5400-5600,['Tennis'],"['ATP Challenger Nonthaburi 2, Dubbelspel', 'ATP Challenger Nonthaburi 2, Enkelspel']"
5600-5800,[],[]
5800-6000,['Basketbal'],"[""PBA Commissioner's Cup""]"
6000-6200,"['Bandy', 'Volleybal']","['Elitserien', 'Superliga Femenina']"
6200-6400,[],[]
6400-6600,['Tennis'],"['WTA Hobart , Enkelspel', 'WTA Hobart , Dubbelspel', 'ATP Auckland, Dubbelspel', 'ATP Auckland, Enkelspel']"
6600-6800,"['Voetbal', 'Volleybal']","['Portugal Liga Revelacao U23', 'Frankrijk Coupe de France']"
6800-7000,[],[]
7000-7200,[],[]
7200-7400,"['Virtual Basketbal', 'Virtual Voetbal', 'Virtual Darten', 'Virtual American Football', 'Virtual Cricket']","['Europa Super League', 'Premier League 23/24', 'WK Vrouwen', 'Nederlandse competitie', 'La Liga 23/24', 'Europees Kampioenschap', 'TOTO Globe Arena', 'Serie A 23/24', 'TOTO Dome', 'WK Voetbal', 'TOTO Palace', 'The TOTO Oval']"
7400-7600,[],[]
7600-7800,['Virtual Voetbal'],['WK Vrouwen']
7800-8000,['Tafeltennis'],"['TTStar Series', 'Czech Liga Pro']"
8000-8200,[],[]
8200-8400,[],[]
8400-8600,['Virtual Voetbal'],"['Premier League 23/24', 'La Liga 23/24', 'Serie A 23/24']"
8600-8800,[],[]
8800-9000,"['Wintersport', 'Basketbal', 'Floorball', 'Cricket', 'IJshockey']","['France Coupe de France', 'Switzerland National League B', 'Europe Cup', 'Sweden Superligan', 'ODI Series Women', 'Tsjechië Extraliga', 'Biatlon Mannen', 'Switzerland Unihockey Prime League', 'Erste Liga']"
9000-9200,"['Snooker', 'Wintersport', 'Basketbal', 'Volleybal', 'Darten']","['Brazilië Superliga Vrouwen', 'Biatlon Vrouwen', 'Modus Darts Online Live League', 'Tunisia Basketball League', 'The Masters']"
9200-9400,"['Cricket', 'Voetbal', 'Futsal', 'IJshockey']","['Portugal Liga 3', 'Vijay Hazare Trophy', 'Poland Ekstraklasa', 'Zwitserland National League A', 'Oostenrijk Eishockey Liga']"
9400-9600,"['Tafeltennis', 'Badminton', 'Voetbal', 'Handbal', 'Cricket', 'Tennis']","['Vriendschappelijk', 'Malaysia Open, Men Doubles', 'South Africa SA20 League', 'Malaysia Open, Women Doubles', 'New Zealand Super Smash, Women', 'ATP Challenger Oeiras 1, Enkelspel', 'Malaysia Open, Women Singles', 'Malaysia Open, Men Singles', 'WTT Star Contender Doha, Mixed Doubles', 'WTT Star Contender Doha, Women Singles', 'WTT Star Contender Doha, Doubles', 'TT Elite Series', 'WTT Star Contender Doha, Singles', 'Supercopa', 'ATP Challenger Oeiras 1, Dubbelspel', 'Malaysia Open, Mixed Doubles', 'WTT Star Contender Doha, Women, Doubles']"
9600-9800,[],[]
9800-10000,[],[]
10000-10200,[],[]
10200-10400,['TOTO Specials'],['Goalgetter Boost']
10400-10600,[],[]
10600-10800,[],[]
10800-11000,[],[]
11000-11200,[],[]
11200-11400,[],[]
11400-11600,['Tafeltennis'],['TTStar Series']
11600-11800,[],[]
11800-12000,[],[]
12000-12200,"['IJshockey', 'Tafeltennis', 'Boksen']","['Finland Liiga', 'Internationale Gevechten', 'Zweden SHL', 'Czech Liga Pro']"
12200-12400,[],[]
12400-12600,[],[]
12600-12800,"['Waterpolo', 'Snooker', 'Mixed Martial Arts', 'IJshockey']","['Champions Hockey League', 'UFC Fight Night: Dern vs. Ribas 2', ""FINA Men's Water Polo World Cup"", 'Championship League Snooker']"
12800-13000,[],[]
13000-13200,[],[]
13200-13400,[],[]
13400-13600,[],[]
13600-13800,[],[]
