,event_id,Event Name,Market Name,Outcome Name,Odds (Decimal),Price Numerator,Price Denominator,Outcome Type,Outcome SubType,sport,competition
0,6492275,Allister Carter vs Chris Wakelin,Handicap Winnaar -1.5,Allister Carter,2.5,6,4,WH,1,Snooker,Championship League Snooker
2,6492275,Allister Carter vs Chris Wakelin,Handicap Winnaar -1.5,Chris Wakelin,1.47,47,100,WH,2,Snooker,Championship League Snooker
4,6492275,Allister Carter vs Chris Wakelin,Wedstrijd,Chris Wakelin,2.05,21,20,HH,2,Snooker,Championship League Snooker
6,6492275,Allister Carter vs Chris Wakelin,Wedstrijd,Allister Carter,1.78,39,50,HH,1,Snooker,Championship League Snooker
8,6492275,Allister Carter vs Chris Wakelin,Aantal Frames - Over/Under 3.5,Under,3.15,43,20,HL,L,Snooker,Championship League Snooker
10,6492275,Allister Carter vs Chris Wakelin,Aantal Frames - Over/Under 3.5,Over,1.31,31,100,HL,1,Snooker,Championship League Snooker
12,6492275,Allister Carter vs Chris Wakelin,Handicap Winnaar -0.5,Chris Wakelin,2.0,1,1,WH,2,Snooker,Championship League Snooker
14,6492275,Allister Carter vs Chris Wakelin,Handicap Winnaar -0.5,Allister Carter,1.73,73,100,WH,1,Snooker,Championship League Snooker
16,6492275,Allister Carter vs Chris Wakelin,Aantal Frames - Over/Under 4.5,Under,1.47,47,100,HL,L,Snooker,Championship League Snooker
18,6492275,Allister Carter vs Chris Wakelin,Aantal Frames - Over/Under 4.5,Over,2.6,8,5,HL,1,Snooker,Championship League Snooker
20,6492275,Allister Carter vs Chris Wakelin,Correct Score,Allister Carter 3-2,4.5,7,2,CS,S,Snooker,Championship League Snooker
22,6492275,Allister Carter vs Chris Wakelin,Correct Score,Allister Carter 3-1,4.0,3,1,CS,S,Snooker,Championship League Snooker
24,6492275,Allister Carter vs Chris Wakelin,Correct Score,Chris Wakelin 3-1,4.5,7,2,CS,S,Snooker,Championship League Snooker
26,6492275,Allister Carter vs Chris Wakelin,Correct Score,Allister Carter 3-0,5.25,17,4,CS,S,Snooker,Championship League Snooker
28,6492275,Allister Carter vs Chris Wakelin,Correct Score,Chris Wakelin 3-2,4.75,15,4,CS,S,Snooker,Championship League Snooker
30,6492275,Allister Carter vs Chris Wakelin,Correct Score,Chris Wakelin 3-0,6.5,11,2,CS,S,Snooker,Championship League Snooker
32,6492275,Allister Carter vs Chris Wakelin,Handicap Winnaar 0.5,Allister Carter,1.73,73,100,WH,1,Snooker,Championship League Snooker
34,6492275,Allister Carter vs Chris Wakelin,Handicap Winnaar 0.5,Chris Wakelin,2.0,1,1,WH,2,Snooker,Championship League Snooker
36,6492260,SI Jiahui vs Ryan Day,Handicap Winnaar -0.5,SI Jiahui,1.61,61,100,WH,1,Snooker,Championship League Snooker
38,6492260,SI Jiahui vs Ryan Day,Handicap Winnaar -0.5,Ryan Day,2.25,5,4,WH,2,Snooker,Championship League Snooker
40,6492260,SI Jiahui vs Ryan Day,Wedstrijd,Ryan Day,2.3,13,10,HH,2,Snooker,Championship League Snooker
42,6492260,SI Jiahui vs Ryan Day,Wedstrijd,SI Jiahui,1.63,63,100,HH,1,Snooker,Championship League Snooker
44,6492260,SI Jiahui vs Ryan Day,Aantal Frames - Over/Under 4.5,Under,1.44,11,25,HL,L,Snooker,Championship League Snooker
46,6492260,SI Jiahui vs Ryan Day,Aantal Frames - Over/Under 4.5,Over,2.6,8,5,HL,1,Snooker,Championship League Snooker
48,6492260,SI Jiahui vs Ryan Day,Aantal Frames - Over/Under 3.5,Under,3.15,43,20,HL,L,Snooker,Championship League Snooker
50,6492260,SI Jiahui vs Ryan Day,Aantal Frames - Over/Under 3.5,Over,1.33,33,100,HL,1,Snooker,Championship League Snooker
52,6492260,SI Jiahui vs Ryan Day,Handicap Winnaar 0.5,Ryan Day,2.25,5,4,WH,2,Snooker,Championship League Snooker
54,6492260,SI Jiahui vs Ryan Day,Handicap Winnaar 0.5,SI Jiahui,1.61,61,100,WH,1,Snooker,Championship League Snooker
56,6492260,SI Jiahui vs Ryan Day,Handicap Winnaar -1.5,SI Jiahui,2.3,13,10,WH,1,Snooker,Championship League Snooker
58,6492260,SI Jiahui vs Ryan Day,Handicap Winnaar -1.5,Ryan Day,1.57,57,100,WH,2,Snooker,Championship League Snooker
60,6492260,SI Jiahui vs Ryan Day,Correct Score,Ryan Day 3-1,5.25,17,4,CS,S,Snooker,Championship League Snooker
62,6492260,SI Jiahui vs Ryan Day,Correct Score,SI Jiahui 3-2,4.25,13,4,CS,S,Snooker,Championship League Snooker
64,6492260,SI Jiahui vs Ryan Day,Correct Score,SI Jiahui 3-1,3.65,53,20,CS,S,Snooker,Championship League Snooker
66,6492260,SI Jiahui vs Ryan Day,Correct Score,Ryan Day 3-0,7.5,13,2,CS,S,Snooker,Championship League Snooker
68,6492260,SI Jiahui vs Ryan Day,Correct Score,SI Jiahui 3-0,4.5,7,2,CS,S,Snooker,Championship League Snooker
70,6492260,SI Jiahui vs Ryan Day,Correct Score,Ryan Day 3-2,5.0,4,1,CS,S,Snooker,Championship League Snooker
72,6123606,Meralco Bolts vs Tnt Katropa,Wedstrijd - Resultaat (excl. OT),Meralco Bolts,1.69,69,100,MR,1,Basketbal,PBA Commissioner's Cup
74,6123606,Meralco Bolts vs Tnt Katropa,Wedstrijd - Resultaat (excl. OT),Tnt Katropa,2.2,6,5,MR,2,Basketbal,PBA Commissioner's Cup
76,6123606,Meralco Bolts vs Tnt Katropa,Wedstrijd - Resultaat (excl. OT),Gelijkspel,13.0,12,1,MR,D,Basketbal,PBA Commissioner's Cup
78,6123606,Meralco Bolts vs Tnt Katropa,Winning Margin 11+,Tnt Katropa by 1-5,5.5,9,2,--,,Basketbal,PBA Commissioner's Cup
80,6123606,Meralco Bolts vs Tnt Katropa,Winning Margin 11+,Tnt Katropa by 6-10,6.0,5,1,--,,Basketbal,PBA Commissioner's Cup
82,6123606,Meralco Bolts vs Tnt Katropa,Winning Margin 11+,Tnt Katropa by 11+,4.5,7,2,--,,Basketbal,PBA Commissioner's Cup
