,event_id,Event Name,Market Name,Outcome Name,Odds (Decimal),Price Numerator,Price Denominator,Outcome Type,Outcome SubType,sport,competition
0,6555558,Manchester City WFC vs Manchester United WFC,Resultaat,Manchester United WFC,3.5,5,2,MR,2,Voetbal,Engeland FA Super League Vrouwen
1,6555558,Manchester City WFC vs Manchester United WFC,Resultaat,Gelijkspel,3.65,53,20,MR,D,Voetbal,Engeland FA Super League Vrouwen
2,6555558,Manchester City WFC vs Manchester United WFC,Resultaat,Manchester City WFC,1.87,87,100,MR,1,Voetbal,Engeland FA Super League Vrouwen
3,6555558,Manchester City WFC vs Manchester United WFC,Draw No Bet,Manchester United WFC,2.6,8,5,DN,2,Voetbal,Engeland FA Super League Vrouwen
4,6555558,Manchester City WFC vs Manchester United WFC,Draw No Bet,Manchester City WFC,1.4,2,5,DN,1,Voetbal,Engeland FA Super League Vrouwen
5,6555558,Manchester City WFC vs Manchester United WFC,Dubbele Kans,Gelijkspel of Manchester United WFC,1.71,71,100,DC,2,Voetbal,Engeland FA Super League Vrouwen
6,6555558,Manchester City WFC vs Manchester United WFC,Dubbele Kans,Manchester City WFC of Manchester United WFC,1.23,23,100,DC,3,Voetbal,Engeland FA Super League Vrouwen
7,6555558,Manchester City WFC vs Manchester United WFC,Dubbele Kans,Manchester City WFC of Gelijkspel,1.23,23,100,DC,1,Voetbal,Engeland FA Super League Vrouwen
8,6555558,Manchester City WFC vs Manchester United WFC,Beide Teams Scoren,Nee,1.98,49,50,--,,Voetbal,Engeland FA Super League Vrouwen
9,6555558,Manchester City WFC vs Manchester United WFC,Beide Teams Scoren,Ja,1.67,67,100,--,,Voetbal,Engeland FA Super League Vrouwen
10,6555558,Manchester City WFC vs Manchester United WFC,Resultaat en Beide Teams Scoren,Manchester City WFC en Nee,3.15,43,20,--,,Voetbal,Engeland FA Super League Vrouwen
11,6555558,Manchester City WFC vs Manchester United WFC,Resultaat en Beide Teams Scoren,Gelijkspel en Ja,4.5,7,2,--,,Voetbal,Engeland FA Super League Vrouwen
12,6555558,Manchester City WFC vs Manchester United WFC,Resultaat en Beide Teams Scoren,Gelijkspel en Nee,12.0,11,1,--,,Voetbal,Engeland FA Super League Vrouwen
13,6555558,Manchester City WFC vs Manchester United WFC,Resultaat en Beide Teams Scoren,Manchester City WFC en Ja,3.65,53,20,--,,Voetbal,Engeland FA Super League Vrouwen
14,6555558,Manchester City WFC vs Manchester United WFC,Resultaat en Beide Teams Scoren,Manchester United WFC en Nee,6.5,11,2,--,,Voetbal,Engeland FA Super League Vrouwen
15,6555558,Manchester City WFC vs Manchester United WFC,Resultaat en Beide Teams Scoren,Manchester United WFC en Ja,6.5,11,2,--,,Voetbal,Engeland FA Super League Vrouwen
16,6555558,Manchester City WFC vs Manchester United WFC,Welke teams scoren,Beide,1.69,69,100,--,,Voetbal,Engeland FA Super League Vrouwen
17,6555558,Manchester City WFC vs Manchester United WFC,Welke teams scoren,Manchester City WFC Alleen,3.25,9,4,--,,Voetbal,Engeland FA Super League Vrouwen
18,6555558,Manchester City WFC vs Manchester United WFC,Welke teams scoren,Geen van Beide,13.0,12,1,--,,Voetbal,Engeland FA Super League Vrouwen
19,6555558,Manchester City WFC vs Manchester United WFC,Welke teams scoren,Manchester United WFC Alleen,6.75,23,4,--,,Voetbal,Engeland FA Super League Vrouwen
20,6555558,Manchester City WFC vs Manchester United WFC,Aantal Goals - Over/Under 3.5,Over,2.9,19,10,HL,1,Voetbal,Engeland FA Super League Vrouwen
21,6555558,Manchester City WFC vs Manchester United WFC,Aantal Goals - Over/Under 3.5,Under,1.36,9,25,HL,L,Voetbal,Engeland FA Super League Vrouwen
22,6555558,Manchester City WFC vs Manchester United WFC,Manchester United WFC Wint Een van Beide Helften,Ja,2.15,23,20,--,,Voetbal,Engeland FA Super League Vrouwen
23,6555558,Manchester City WFC vs Manchester United WFC,Manchester United WFC Wint Een van Beide Helften,Nee,1.56,14,25,--,,Voetbal,Engeland FA Super League Vrouwen
24,6555558,Manchester City WFC vs Manchester United WFC,Aantal Goals - Over/Under 2.5,Under,1.93,93,100,HL,L,Voetbal,Engeland FA Super League Vrouwen
25,6555558,Manchester City WFC vs Manchester United WFC,Aantal Goals - Over/Under 2.5,Over,1.77,77,100,HL,1,Voetbal,Engeland FA Super League Vrouwen
26,6555558,Manchester City WFC vs Manchester United WFC,Aantal Goals - Over/Under 1.5,Over,1.25,1,4,HL,1,Voetbal,Engeland FA Super League Vrouwen
27,6555558,Manchester City WFC vs Manchester United WFC,Aantal Goals - Over/Under 1.5,Under,3.65,53,20,HL,L,Voetbal,Engeland FA Super League Vrouwen
28,6555558,Manchester City WFC vs Manchester United WFC,Manchester United WFC Wint Beide Helften,Ja,8.0,7,1,--,,Voetbal,Engeland FA Super League Vrouwen
29,6555558,Manchester City WFC vs Manchester United WFC,Manchester United WFC Wint Beide Helften,Nee,1.02,1,50,--,,Voetbal,Engeland FA Super League Vrouwen
30,6555558,Manchester City WFC vs Manchester United WFC,Aantal Goals - Over/Under 4.5,Under,1.12,3,25,HL,L,Voetbal,Engeland FA Super League Vrouwen
31,6555558,Manchester City WFC vs Manchester United WFC,Aantal Goals - Over/Under 4.5,Over,5.25,17,4,HL,1,Voetbal,Engeland FA Super League Vrouwen
32,6555558,Manchester City WFC vs Manchester United WFC,Manchester City WFC Wint Een van Beide Helften,Ja,1.47,47,100,--,,Voetbal,Engeland FA Super League Vrouwen
