,event_id,Event Name,Market Name,Outcome Name,Odds (Decimal),Price Numerator,Price Denominator,Outcome Type,Outcome SubType,sport,competition
0,6620064,Jak Jones vs Tom Ford,Handicap Winnaar 0.5,Jak Jones,1.61,61,100,WH,1,Snooker,Championship League Snooker
2,6620064,Jak Jones vs Tom Ford,Handicap Winnaar 0.5,Tom Ford,2.25,5,4,WH,2,Snooker,Championship League Snooker
4,6620064,Jak Jones vs Tom Ford,Aantal Frames - Over/Under 4.5,Under,1.44,11,25,HL,L,Snooker,Championship League Snooker
6,6620064,Jak Jones vs Tom Ford,Aantal Frames - Over/Under 4.5,Over,2.6,8,5,HL,1,Snooker,Championship League Snooker
8,6620064,Jak Jones vs Tom Ford,Handicap Winnaar -0.5,Jak Jones,1.61,61,100,WH,1,Snooker,Championship League Snooker
10,6620064,Jak Jones vs Tom Ford,Handicap Winnaar -0.5,Tom Ford,2.25,5,4,WH,2,Snooker,Championship League Snooker
12,6620064,Jak Jones vs Tom Ford,Handicap Winnaar -1.5,Jak Jones,2.3,13,10,WH,1,Snooker,Championship League Snooker
14,6620064,Jak Jones vs Tom Ford,Handicap Winnaar -1.5,Tom Ford,1.57,57,100,WH,2,Snooker,Championship League Snooker
16,6620064,Jak Jones vs Tom Ford,Wedstrijd,Jak Jones,1.63,63,100,HH,1,Snooker,Championship League Snooker
18,6620064,Jak Jones vs Tom Ford,Wedstrijd,Tom Ford,2.3,13,10,HH,2,Snooker,Championship League Snooker
20,6620064,Jak Jones vs Tom Ford,Aantal Frames - Over/Under 3.5,Over,1.33,33,100,HL,1,Snooker,Championship League Snooker
22,6620064,Jak Jones vs Tom Ford,Aantal Frames - Over/Under 3.5,Under,3.15,43,20,HL,L,Snooker,Championship League Snooker
24,6620064,Jak Jones vs Tom Ford,Correct Score,Tom Ford 3-2,5.5,9,2,CS,S,Snooker,Championship League Snooker
26,6620064,Jak Jones vs Tom Ford,Correct Score,Jak Jones 3-2,4.75,15,4,CS,S,Snooker,Championship League Snooker
28,6620064,Jak Jones vs Tom Ford,Correct Score,Jak Jones 3-1,4.0,3,1,CS,S,Snooker,Championship League Snooker
30,6620064,Jak Jones vs Tom Ford,Correct Score,Tom Ford 3-1,5.5,9,2,CS,S,Snooker,Championship League Snooker
32,6620064,Jak Jones vs Tom Ford,Correct Score,Jak Jones 3-0,5.0,4,1,CS,S,Snooker,Championship League Snooker
34,6620064,Jak Jones vs Tom Ford,Correct Score,Tom Ford 3-0,8.0,7,1,CS,S,Snooker,Championship League Snooker
36,6620061,Neil Robertson vs Stuart Bingham,Aantal Frames - Over/Under 4.5,Under,1.44,11,25,HL,L,Snooker,Championship League Snooker
38,6620061,Neil Robertson vs Stuart Bingham,Aantal Frames - Over/Under 4.5,Over,2.6,8,5,HL,1,Snooker,Championship League Snooker
40,6620061,Neil Robertson vs Stuart Bingham,Wedstrijd,Neil Robertson,1.65,13,20,HH,1,Snooker,Championship League Snooker
42,6620061,Neil Robertson vs Stuart Bingham,Wedstrijd,Stuart Bingham,2.25,5,4,HH,2,Snooker,Championship League Snooker
