,bet_offer_id,criterion_id,criterion_label,criterion_english_label,occurrence_type,lifetime,bet_offer_type_id,bet_offer_type_name,bet_offer_type_english_name,event_id,outcome_id,outcome_label,outcome_english_label,odds,line,participant,type,changed_date,odds_fractional,odds_american,status,cash_out_status,home_score,away_score,event_name,sport,group_name
0,2480017578,1001159858,Reguliere Speeltijd,Full Time,GOALS,FULL_TIME,2,Wedstrijd ,Match,1022274708,3593919956,1,1,3300.0,,Bologna,1,2025-01-21T14:53:01Z,23/10,230,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
1,2480017578,1001159858,Reguliere Speeltijd,Full Time,GOALS,FULL_TIME,2,Wedstrijd ,Match,1022274708,3593919958,X,X,3550.0,,,OT_CROSS,2025-01-21T14:53:01Z,5/2,255,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
2,2480017578,1001159858,Reguliere Speeltijd,Full Time,GOALS,FULL_TIME,2,Wedstrijd ,Match,1022274708,3593919960,2,2,2300.0,,Borussia Dortmund,2,2025-01-21T14:53:01Z,13/10,130,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
3,2480017579,1001159926,Totaal Aantal Doelpunten,Total Goals,GOALS,FULL_TIME,6,Over/Onder,Over/Under,1022274708,3593919957,Meer dan,Over,1850.0,2500.0,,OT_OVER,2025-01-21T14:52:59Z,17/20,-118,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
4,2480017579,1001159926,Totaal Aantal Doelpunten,Total Goals,GOALS,FULL_TIME,6,Over/Onder,Over/Under,1022274708,3593919959,Minder dan,Under,1960.0,2500.0,,OT_UNDER,2025-01-21T14:52:59Z,19/20,-105,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
5,2480017725,1001224081,3-Way Handicap,3-Way Handicap,GOALS,FULL_TIME,11,3-Way handicap,3-Way Handicap,1022274708,3593920651,1,1,1220.0,2000.0,Bologna,1,2025-01-21T14:53:01Z,11/50,-455,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
6,2480017725,1001224081,3-Way Handicap,3-Way Handicap,GOALS,FULL_TIME,11,3-Way handicap,3-Way Handicap,1022274708,3593920653,X,X,6500.0,2000.0,,OT_CROSS,2025-01-21T14:53:01Z,11/2,550,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
7,2480017725,1001224081,3-Way Handicap,3-Way Handicap,GOALS,FULL_TIME,11,3-Way handicap,3-Way Handicap,1022274708,3593920657,2,2,9500.0,2000.0,Borussia Dortmund,2,2025-01-21T14:53:01Z,17/2,850,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
8,2480017726,1001568620,3-Way Handicap - 1e Helft,3-Way Handicap - 1st Half,GOALS,,11,3-Way handicap,3-Way Handicap,1022274708,3593920652,1,1,1380.0,1000.0,Bologna,1,2025-01-21T14:53:00Z,4/11,-265,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
9,2480017726,1001568620,3-Way Handicap - 1e Helft,3-Way Handicap - 1st Half,GOALS,,11,3-Way handicap,3-Way Handicap,1022274708,3593920656,X,X,3900.0,1000.0,,OT_CROSS,2025-01-21T14:53:00Z,29/10,290,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
10,2480017726,1001568620,3-Way Handicap - 1e Helft,3-Way Handicap - 1st Half,GOALS,,11,3-Way handicap,3-Way Handicap,1022274708,3593920663,2,2,9500.0,1000.0,Borussia Dortmund,2,2025-01-21T14:53:00Z,17/2,850,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
11,2480017727,1001159826,2e Helft,2nd Half,GOALS,,2,Wedstrijd ,Match,1022274708,3593920654,1,1,3450.0,,Bologna,1,2025-01-21T14:53:00Z,49/20,245,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
12,2480017727,1001159826,2e Helft,2nd Half,GOALS,,2,Wedstrijd ,Match,1022274708,3593920659,X,X,2650.0,,,OT_CROSS,2025-01-21T14:53:00Z,33/20,165,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
13,2480017727,1001159826,2e Helft,2nd Half,GOALS,,2,Wedstrijd ,Match,1022274708,3593920667,2,2,2400.0,,Borussia Dortmund,2,2025-01-21T14:53:00Z,7/5,140,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
14,2480017729,1001642858,Beide Teams Scoren,Both Teams To Score,,,18,Ja/Nee,Yes/No,1022274708,3593920672,Ja,Yes,1650.0,,,OT_YES,2025-01-21T14:52:59Z,13/20,-155,OPEN,ENABLED,,,Bologna vs Borussia Dortmund,FOOTBALL,N/A
