,bet_offer_id,closed,criterion_id,criterion_label,criterion_english_label,occurrence_type,lifetime,bet_offer_type_id,bet_offer_type_name,bet_offer_type_english_name,event_id,outcome_id,outcome_label,outcome_english_label,odds,line,participant,type,changed_date,odds_fractional,odds_american,status,cash_out_status,home_score,away_score
0,2468595399,2024-11-09T15:00:00Z,1000505272,Correcte Score - 1e Helft,Correct Score - 1st Half,GOALS,,3,Correcte Score,Correct Score,1021042522,3554369992,0-0,0-0,3150.0,,,OT_UNTYPED,2024-11-06T05:43:41Z,43/20,215,OPEN,ENABLED,0,0
1,2468595399,2024-11-09T15:00:00Z,1000505272,Correcte Score - 1e Helft,Correct Score - 1st Half,GOALS,,3,Correcte Score,Correct Score,1021042522,3554369993,1-0,1-0,4100.0,,,OT_UNTYPED,2024-11-06T05:43:41Z,3/1,310,OPEN,ENABLED,1,0
2,2468595399,2024-11-09T15:00:00Z,1000505272,Correcte Score - 1e Helft,Correct Score - 1st Half,GOALS,,3,Correcte Score,Correct Score,1021042522,3554369994,2-0,2-0,10000.0,,,OT_UNTYPED,2024-11-06T05:43:41Z,9/1,900,OPEN,ENABLED,2,0
3,2468595399,2024-11-09T15:00:00Z,1000505272,Correcte Score - 1e Helft,Correct Score - 1st Half,GOALS,,3,Correcte Score,Correct Score,1021042522,3554369995,3-0,3-0,36000.0,,,OT_UNTYPED,2024-11-06T05:43:41Z,35/1,3500,OPEN,ENABLED,3,0
4,2468595399,2024-11-09T15:00:00Z,1000505272,Correcte Score - 1e Helft,Correct Score - 1st Half,GOALS,,3,Correcte Score,Correct Score,1021042522,3554369996,4-0,4-0,161000.0,,,OT_UNTYPED,2024-11-06T05:43:41Z,160/1,16000,OPEN,ENABLED,4,0
5,2468595399,2024-11-09T15:00:00Z,1000505272,Correcte Score - 1e Helft,Correct Score - 1st Half,GOALS,,3,Correcte Score,Correct Score,1021042522,3554369998,0-1,0-1,5200.0,,,OT_UNTYPED,2024-11-06T05:43:41Z,21/5,420,OPEN,ENABLED,0,1
6,2468595399,2024-11-09T15:00:00Z,1000505272,Correcte Score - 1e Helft,Correct Score - 1st Half,GOALS,,3,Correcte Score,Correct Score,1021042522,3554369999,1-1,1-1,6500.0,,,OT_UNTYPED,2024-11-06T05:43:41Z,11/2,550,OPEN,ENABLED,1,1
7,2468595399,2024-11-09T15:00:00Z,1000505272,Correcte Score - 1e Helft,Correct Score - 1st Half,GOALS,,3,Correcte Score,Correct Score,1021042522,3554370000,2-1,2-1,19000.0,,,OT_UNTYPED,2024-11-06T05:43:41Z,18/1,1800,OPEN,ENABLED,2,1
8,2468595399,2024-11-09T15:00:00Z,1000505272,Correcte Score - 1e Helft,Correct Score - 1st Half,GOALS,,3,Correcte Score,Correct Score,1021042522,3554370001,3-1,3-1,71000.0,,,OT_UNTYPED,2024-11-06T05:43:41Z,70/1,7000,OPEN,ENABLED,3,1
9,2468595399,2024-11-09T15:00:00Z,1000505272,Correcte Score - 1e Helft,Correct Score - 1st Half,GOALS,,3,Correcte Score,Correct Score,1021042522,3554370004,0-2,0-2,17000.0,,,OT_UNTYPED,2024-11-06T05:43:41Z,16/1,1600,OPEN,ENABLED,0,2
